id,region,sec_uid,unique_id,nickname,signature,avatar,verified,secret,aweme_count,following_count,follower_count,favoriting_count,total_favorited,ins_id,youtube_channel_title,youtube_channel_id,twitter_name,twitter_id,author_id
6977510459399144454,US,MS4wLjABAAAAvbxENtiUhKIkK9eqYqeKdbxmLyrxVjabWB8oWjKIN10Q8obpWVLC6-9bSGuxj9oW,rmcelhenney,Rob McElhenney,Co-chairman of the 3rd oldest football team in the world.,https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/f6157d1a403b0ac8b6a35346860aa58e~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,58,23,1227632,103,11145687,,,,,,6724659169629340678
6607270747995078662,US,MS4wLjABAAAApBKenBke-wUOvCUnByNasMN76nkWaPURF5tHgm8aXDq-sp9jEudu8u8WPyoDJpw0,harry.tate,harry.tate,"VIBE KING😎
📩 - harrisontatey180@gmail.com 
Get glasses here⬇️",https://p19-common-sg.tiktokcdn-us.com/tos-alisg-avt-0068/53aca38d9fd8562ec5c710a1c18efb74~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1013,2273,4758949,118895,101210716,harry.tate,Harry Tate,UCHM5VG4wpVCpbEPA-QyDTvg,,,6724659169629340678
6719826647413949446,US,MS4wLjABAAAAlGOMa4dZB84clQTHpgeTFBj-MBsZdhSq4ueXs-z5DwfKoh8DNxGh_VOJqv50ccOd,ronkillings1,Ron Killings,Ron Killings aka WWE Superstar R-Truth,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/2cb49d81e4267a314c6d093a801bb80c~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,513,6728,2370299,12780,16263065,,Ron Killings,UC4X6yBUS4ajrpADdskQHW-w,,,6724659169629340678
6808945376549962758,US,MS4wLjABAAAAcR8MhVSpjJEmD5OkvwGtklUOqFTnzDfg1UUn54XJydZlvOwN32bhPDA2GL96dIj8,meidastouch,MeidasTouch,The fastest growing independent news network in the world.,https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/46ccdc7c69b32f042768ca27ac778fdc~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,True,False,4223,499,2322520,3565,138017016,meidastouch,MeidasTouch,UC9r9HYFxEQOBXSopFS61ZWg,,,6724659169629340678
6829110267768243206,CA,MS4wLjABAAAAnYI4ld1gUQH67x3akDEo1eLQtJvXBhzxLsLvcSZKaWl79rGSjptQ8PcZUwE3aKmN,tvcarnage,Derrick Beckles,#tvcarnage #hotpackage #M4Millennials  #ericandreshow #jackassforever #fdpot etc,https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/7327810049635450885~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,3,21,153,2,116,tvcarnage,,,,,6724659169629340678
6671034,US,MS4wLjABAAAA_GUqGYGXJflkc3qZjQ9aOqRr0XIJge51QzYRcmzje_8,lauraclery,Laura Clery,Reachlauraclery@gmail.com,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/ea8f5f1a46c5399d63c4ee294d760d6d~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1612,1007,7421019,37418,193826470,lauraclery,LAURA CLERY,UCSfJoOxzmSr5ibdGcLN3Ysg,,,6724659169629340678
6638646428809052166,US,MS4wLjABAAAA7rv9YFzi6rIMUn57etk5tgWSTOtMt7MgRlnabtLohHKv8lPoVaAsGlpVoptfgcIR,meena,Meena Harris,"MEENA HARRIS
#1 NYT bestseller
CEO @PHENOMENAL Media
donovan.tatum@caa.com",https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/1a18a3bfd23259130ca44d59783833aa~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,3,288,2201988,17490,83269395,,,,,,6724659169629340678
6715956570364314630,US,MS4wLjABAAAAXqrObvOiFVQ0DV_hTSl72vPd5OMwq3kC6igvgvxMqNFzJwgJYe9amnOmMUmYlVK3,waltermasterson,Walter Masterson,"""Comedian""",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/ec6cb994ec0ec3ad39be3a66e0a6d9e5~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1872,2769,3052767,45737,153565101,,Walter Masterson,UC1jm99nowPK_Lzcd4PKK7Kw,,,6724659169629340678
6773811594868065285,US,MS4wLjABAAAA6mzmOs3wLjsSaGkwMUYD8oGPyavul1Pj5YLlWIfmwnURtBGPxz-tdt8Xa2bQg6Sa,frannypack17,franny,the green hot sauce will always be hotter than the red,https://p16-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7b9e602542c211a6530050b519f0876b~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1,80,110,143,3453,,,,,,6724659169629340678
106057064799494144,US,MS4wLjABAAAAf_OLJqAfRCZ4URKAK1DUfwiS5hXUmv82K0A_giQRR2H4E1yB0RZ9JdCpnI54WcSC,iloveyoukairo,KAIRO,"OUR DEBUT ALBUM IS OUT NOW!
⬇️⬇️⬇️",https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/71dc1893520a5263c1f613364a5b4d11~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,423,3434,848974,224755,15626517,iloveyoukairo,KAIRO,UCH6KHrzI6thaxjuZ9tYjk7Q,,,6724659169629340678
6681797209447842822,US,MS4wLjABAAAAV--pGvGKPLphwbG-Oztr8MzGaGQ3RTjufQ8J1_xKBA4yHiLsItoIk73zW3UOBxEu,kidbehindacamerahere,Kidbehindacamera,"For Business inquiries
TheAngryGrandpa@TheAngryGrandpa.com
Charleston, SC",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/49a965ecc8a427a10f93be1ea401eeb1~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,362,738,1693800,106815,37108024,kidbehindacamera,,,,,6724659169629340678
6561679087961243654,US,MS4wLjABAAAArLjp4QRY7ZOUfu-D8GlrCx7h-MKaNnykoFkRUtF0TNgoV7wq0ugitb7s6rJvedla,theharryvoice,TheHarryVoice,"KY Colonel

💥Reactions - Infomercials - Product Review

Harry@theharryvoice.com",https://p16.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7348627074451505195~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,173,2962,236044,17964,4371073,theharryvoice,The Harry Voice,UCXgymvd6BsETL80sqKcS9Lg,,,6724659169629340678
6748923866121012229,US,MS4wLjABAAAAtV_cK9Qik8dER3BNRLHqL37AMFCdE3TTGizXb0ge5v0VDYCai5wF0sD8gtLzPBPl,zaenaworld,Zaena X Jason Maek,This and That 🙃,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/70b78feaf7527634fa235adb7b3736f4~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,37,9949,65636,14779,1564417,zaenaworld,,,,,6724659169629340678
6675996546947924998,US,MS4wLjABAAAA9bntTgDFvy-5G4G0x7ydXCPPuUfXQTp-4910cq9kKXNP_PGEe129ZVI_YuBURiH7,whatchugotforme,Sarah Cooper,,https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/d3bf6422e7370bf7327076bf1c8dec41~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,110,1839,741366,7113,7678915,,,,,,6724659169629340678
6789960144798696453,US,MS4wLjABAAAAYE8T3lF6HpGbT5YvbO_gr-_aOgj8u4oAkcy2qnRUGaKnHFU7WpyVVjtbJ9C7Q5Na,thedavram,Davram,Just a super chill dude doing super chill things.,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/cf21e0d4ea857f1cb8c81911d9807502~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,170,760,166,0,,,,,,6724659169629340678
6560130106873102342,US,MS4wLjABAAAAlGsefl92Jkq9uZw2xlqqFI5KT0PoQh1RJklA78aSKlEaY7OOp0lCr_r9QB_ML81z,benbuzzy,Benbuzzy,"🤓Big Goofy Nerd🤓
#buzzycrew
D&D and Nerd-Life
#buzzycrew",https://p16-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7344038334248779818~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,3011,5455,21115,62937,368697,benbuzzy,,,,,6724659169629340678
6724659364106503173,US,MS4wLjABAAAAO9_vsUU8-3CuopfnIWfG100vBKC9tfcKjHoON6mynyaVLyHb0CAJW-X-aqTz-237,jasonselvig,JasonSelvig,"1/2 of @thegoodliars
See us LIVE in NYC October 24th! 👇",https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/7329857688153391109~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1,4,1590,29,4194,,,,,,6724659169629340678
7003749928079410182,US,MS4wLjABAAAAUD68xG_WNO5BYnQ3j11APKHawtOiOgPxQoxxo5VpFxrN3IW8ccJpiO7YM_91U_7g,gogreenwithalexa,go green with alexa,"let's get creative & make sustainability FUN ☀️
🩵 FL",https://p16-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/61a70cbed73f884536ebed6e9c612a8f~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,514,1759,0,0,gogreenwithalexa,Alexa Pavan,UCqpCxQTfMlxIUDvlsvFAVeQ,,,6742912676903568389
7217646232923849774,US,MS4wLjABAAAA2oueIBQmP0hzPLSPiuohTdcr3aNn79eQePg9IZO6xnQ848_o_EmbmxARl2SlmQae,millerracing56,millerracing56,"Law Enforcement 
Motocross Family
Seth is chasing the Loretta and Mini'Os dream!",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/434f1acb90f03e07a1a6d296a938d9bd~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,78,149,719,10259,5579,,,,,,6742912676903568389
7440954795668243498,US,MS4wLjABAAAAmUefyJPQC-aYUt1u7UFpRSphXB6ZQMi1XVAHIUsZVApZS_Wudp85IGiwIgPmQHSg,evergladesnationalpark,Everglades National Park,Swamp Influencer since 1947 🌴 🐊 💅 #GladesTok,https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/89dcd105af5f403e5a21450dc15c0de3~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,47,56301,0,0,,,,,,6742912676903568389
69281407964966912,US,MS4wLjABAAAA7CXTw22hjq6Y0uaUrxtpk71UqwER1jfj3ipdF6J1JW2DWnEC_Mzsddn98UR4e3xb,thechainsmokers,The Chainsmokers,new music soon...,https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e0f49ad38851cd9a9c1927d0e8cb9d8a~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,531,502,3316055,3719,65581295,thechainsmokers,,,,,6742912676903568389
6753640090151322629,US,MS4wLjABAAAAXrtees2t4pTQcmdZgmY1qsim6W4xmC-Os2afezvaQeOJCpJpc1OxGILCZop83a8L,rufusdusol,RÜFÜS DU SOL,Inhale / Exhale world tour:,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c7d78f11f329477e2e11ae1b8e1fdfee~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,145,29,310464,259,2746776,rufusdusol,,,,,6742912676903568389
6807673911875437573,US,MS4wLjABAAAATcnTZbJc-bTaVVJkBPLNpTK07lJBfeMnl9N_3JKL96Wo5wG34tz-J3l92QR7FVCw,clooneeuk,Cloonee,"🥱
Milan Sunset Set OUT NOW",https://p16-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/c1b28ab63a62a80e2f754700fe9b9471~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,1,217698,0,0,cloonee,Cloonee,UC51WF-i8Wtp1PqRc3mXfKaA,,,6742912676903568389
6730374409515582469,US,MS4wLjABAAAA6yEwZH9e_P_cFdoc_umBNiFZYfqpYjJ49WKoFF9WILHhRjNsbfgd_n6ZBL9pCsJm,domdolla,Dom Dolla,Sydney stadium tix 🏟️,https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/7a622c20776192b5ab9f8012eeb27e42~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,371,288,749856,6369,24482538,,,,,,6742912676903568389
7109877008918758442,US,MS4wLjABAAAAy55ZiCKpuYhe_sgnB_lfadA7Z5D_6C6fMYOIwTzHTOFr0CjlwUztiSYykLkAdS9q,james_rufusdusol,JAMES (RÜFÜS DU SOL),"James Hunt

Inhale / Exhale Tour 2025",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/49823ab4b401b97f32909cc0d2a36c79~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,67,289,141095,3332,1699591,_jameshunt,,,,,6742912676903568389
7158854592649085958,NL,MS4wLjABAAAAhbyaDO9jffEDfCMbd9og7fU9J_ClUJv8eqR_gz_QWD4a0FIZcU7Yioyx9j2tF9DV,seashepherdglobal,Sea Shepherd,"Sea Shepherd defends, conserves, and protects the ocean.",https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/36fba79380ef1da82883eaacec21e3e7~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,25,115615,0,0,seashepherd,Sea Shepherd,UCRYjOhn_GeNtZjz4TY1OJEg,,,6742912676903568389
6749206263416161285,US,MS4wLjABAAAA38xoRsEaXL5TLeUkSCGHTo-RvU9P485jMPZSIiBjhQ4-uQiq3rS4FIDrP5O_Y0yW,twinsick,TWINSICK,"Alex & Casey
⚡️⚡️
New Remix :)",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/119173022434f9a952213ee3344b3539~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,0,761,462986,0,0,twinsick,,,,,6742912676903568389
6762226776103584774,US,MS4wLjABAAAAS-KOdWXYBnklrQEX6ftPKATICVLGWb_fu1qoZ8_HVSBoeQZCBzrlKIRXjcZ2R-N4,johnsummit,john summit,producer/dj from chicago,https://p19.tiktokcdn-us.com/tos-useast5-avt-0068-tx/963ea96cc738b3054ac1074b222c42d0~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,533,783,792615,10679,31885285,johnsummit,,,,,6742912676903568389
6729210967027614726,BR,MS4wLjABAAAAwwf-mmdK0BGTdX_Y1_iDbXJ_nYXSxTH5T5dAVbfGT6VlmF0AE84cJy7TA8g-EJTS,stickfiguremusic,Stick Figure,Stick Figure - All roots / reggae / dub music,https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/ea2b1786386e56f084101089c226da15~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,217,75,85785,19,768600,stickfiguremusic,Stick Figure,UCjiiFG9kMvhSSvvWMzgXCOw,,,6742912676903568389
6760966171211662342,US,MS4wLjABAAAAnTYQYD5igQkj2i7ibMSF3ShdXfLLhkf23-NTuutC2djNaASMnPmBp_k3lTm9xSzW,edmhousenetwork,EDMHouseNetwork,"🎧 Best place for everything EDM 🎧
✉️ DM for promo ✉️
⬇️ Send us your music ⬇️",https://p19-pu-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/8a4546cafe6c02732fa8b2241fd04f20~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,2292,295,208451,2707,12217644,edmhousenetwork,,,,,6742912676903568389
7067029180320400386,AU,MS4wLjABAAAAY3rCuAEUvfyo0x6YjAxHxZZk55XAz0fPLA4SgL1ZSwEg1J0BBs_o3N4tkFcCkclj,everybodyhasasecret,everybody has a secret,"this pod is all about spilling them 🤫
listen to our new ep👇",https://p19-common-sg.tiktokcdn-us.com/tos-alisg-avt-0068/8963c8b234aad68990d88059d7fbd800~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,377,6,538500,421,5640757,everybodyhasasecretpod,,,,,6742912676903568389
6962185449620423685,US,MS4wLjABAAAAYnWRKRahjGJLiqa03Y8gw5jrkL1uUtOQ8VZL0nLuiRX_YzKFjsmbD6UqOmH0LAq5,melrobbins,Mel Robbins,"Author, Podcaster, Friend
💚 The LET THEM Theory
🎧 The Mel Robbins Podcast",https://p19-common-va.tiktokcdn-us.com/tos-maliva-avt-0068/489e36b17e58e3902a6c6c639ec0c48e~tplv-tiktokx-cropcenter-q:300:300:q75.webp?dr=8834&idc=useast5&ps=87d6e48a&s=COMMON_RELATION_LIST&sc=avatar&shcp=65db1d19&shp=30310797&t=223449c4,False,False,1910,44,4679984,2145,55703374,,Mel Robbins,UCk2U-Oqn7RXf-ydPqfSxG5g,,,6742912676903568389
